site,compressedSize,actualSize,ssrFail,rc,date
Blog,138.76 KB,859.69 KB,✓,prod,2018-06-17 12:07:07
Blog-post,122.49 KB,754.21 KB,✓,prod,2018-06-17 12:07:07
ECOM,166.97 KB,1.11 MB,✓,prod,2018-06-17 12:07:07
ECOM-all-products,145.24 KB,927.78 KB,✓,prod,2018-06-17 12:07:07
ECOM-single-product,141.13 KB,903.85 KB,✓,prod,2018-06-17 12:07:07
Members only protected page,92.8 KB,555.28 KB,✓,prod,2018-06-17 12:07:07
Simple Site,134.79 KB,814.36 KB,✓,prod,2018-06-17 12:07:07
Wix-code font changer,97.55 KB,607.32 KB,✓,prod,2018-06-17 12:07:07
Blog,139.44 KB,859.89 KB,✓,1.3849.0,2018-06-17 12:07:16
Blog-post,122.76 KB,754.49 KB,✓,1.3849.0,2018-06-17 12:07:16
ECOM,167.28 KB,1.11 MB,✓,1.3849.0,2018-06-17 12:07:16
ECOM-all-products,145.41 KB,928.25 KB,✓,1.3849.0,2018-06-17 12:07:16
ECOM-single-product,141.74 KB,904.38 KB,✓,1.3849.0,2018-06-17 12:07:16
Members only protected page,93.03 KB,556.91 KB,✓,1.3849.0,2018-06-17 12:07:16
Simple Site,135.12 KB,814.56 KB,✓,1.3849.0,2018-06-17 12:07:16
Wix-code font changer,97.27 KB,607.16 KB,✓,1.3849.0,2018-06-17 12:07:16
